city_id,year,average_clustering,global_clustering,degree_centrality_max,degree_centrality_mean,degree_centrality_median,betweenness_centrality_max,betweenness_centrality_mean,betweenness_centrality_median,closeness_centrality_max,closeness_centrality_mean,closeness_centrality_median,pagerank_max,pagerank_mean,pagerank_median,connectivity
北京市,2016,0.14652513255876642,0.2966052419715538,0.0028599714002859973,0.0001758143439243126,5.4999450005499945e-05,0.00016660779486814593,8.997370045068694e-07,0.0,0.01738243640682126,0.0014946141226394069,5.4999450005499945e-05,0.0013801579550638985,0.00010998680158380988,4.313949683995429e-05,0
北京市,2017,0.18081332314059478,0.36473755047106327,0.0026262036766851477,0.0001905415233230033,4.8633401420095325e-05,0.0003138620585162637,2.0089703369314645e-06,0.0,0.025860252512287487,0.0023909343876005527,4.8633401420095325e-05,0.0010914536056401902,9.725734292939242e-05,3.4510653541944e-05,0
北京市,2018,0.18847103211501368,0.37675880294264696,0.002665686184391948,0.00018627360862536027,4.596010662744738e-05,0.0005070962748270274,1.8726917980046936e-06,0.0,0.031524528171571066,0.0024765562860391125,4.596010662744738e-05,0.0010706725766002998,9.191176470588307e-05,3.321622549193192e-05,0
北京市,2019,0.19122942516794902,0.3846081750764436,0.0025573111699698603,0.00018591802341366007,4.566627089231893e-05,0.000527016907776902,1.6873534074615036e-06,0.0,0.03380097491078811,0.0023486154360628673,4.566627089231893e-05,0.0009533086034567902,9.132420091324323e-05,3.423210392098929e-05,0
北京市,2020,0.2035429099611849,0.4111654676258993,0.002527592889038672,0.000184448269628079,4.2126548150644534e-05,0.0008501460192958238,3.518059329434749e-06,0.0,0.034971562641192735,0.0030564260592578774,4.2126548150644534e-05,0.0007399201130962026,8.42459983150801e-05,2.979470759565885e-05,0
成都市,2016,0.20339150415990362,0.2930300482364916,0.007535902175458553,0.00034424819085750386,7.109341674960899e-05,0.007900242456319874,3.6915899920562374e-05,0.0,0.136516487788944,0.014962017662900343,7.109341674960899e-05,0.0036245895537793163,0.0001421666192777928,5.1266926574274115e-05,0
成都市,2017,0.2056778117297496,0.2933421098484115,0.006398024469637446,0.00028677541305221176,5.6123021663486364e-05,0.03023349949141504,0.00012781267755875134,0.0,0.22314881347292453,0.031970236315037925,5.6123021663486364e-05,0.0025179586967654906,0.00011223344556677715,4.025410448871551e-05,0
成都市,2018,0.20198337433457944,0.3346231002447527,0.00631555204691553,0.00030030818278373145,5.63888575617458e-05,0.03286957345863692,0.00014632321698949502,0.0,0.2291078013216532,0.03358880064856972,5.63888575617458e-05,0.0021126026874909412,0.00011276499774469884,3.9768944797532056e-05,0
成都市,2019,0.22071520996485366,0.34518204843785566,0.005514245133260924,0.00025434684268249927,4.177458434288579e-05,0.04036193460780814,0.00017103790715726686,0.0,0.2674748639959718,0.042014693776148256,4.177458434288579e-05,0.001815368197680965,8.354218880534525e-05,2.8154051058934087e-05,0
成都市,2020,0.23096004660280856,0.3778500278211157,0.00612989875335767,0.00024571204028842617,3.4437633445829606e-05,0.03309616245717399,0.00010953208117043337,0.0,0.28203223364917684,0.04150098513331525,3.4437633445829606e-05,0.001071317281873411,6.88705234159757e-05,2.264731888929503e-05,0
成都市,2021,0.3519963404081023,0.8411132024737833,0.01150278293135436,0.0010958308330076027,0.00018552875695732838,9.981180837051024e-05,7.28012130110524e-07,0.0,0.030564537503313005,0.002318888591925734,0.00018552875695732838,0.001466977853286032,0.00037091988130563924,0.0001452302937214882,0
重庆市,2016,0.09070704937792798,0.19592373438527286,0.011779293242405455,0.0007459527645193829,0.00030998140111593303,0.00044446051185646816,4.877697996779997e-06,0.0,0.028956418691253663,0.0030698800276211,0.00030998140111593303,0.008488041108357708,0.0006195786864931851,0.0002762014354038289,0
重庆市,2017,0.13470359360768389,0.24221980413492927,0.012121212121212121,0.0006651937686420446,0.0002331002331002331,0.0011792001530807502,6.15713752615451e-06,0.0,0.046937570654778354,0.0035971241292705736,0.0002331002331002331,0.006941114819123044,0.00046598322460391294,0.00019191515380027324,0
重庆市,2018,0.14300367534596733,0.276600123482198,0.009836065573770491,0.0005736444598336113,0.00018214936247723133,0.0009627894873796513,5.913852435828986e-06,0.0,0.048264352210905394,0.003920932977653043,0.00018214936247723133,0.0044830743309391295,0.00036416605972323484,0.00014206301741706947,0
重庆市,2019,0.15600111054006677,0.30988507811097143,0.006740990407052112,0.0004345340747696989,0.00012963443090484831,0.0018184904599458298,5.571184733026223e-06,0.0,0.05428749575403756,0.0036223858108338693,0.00012963443090484831,0.0033768907198217044,0.0002592016588906176,0.00010067021797671485,0
重庆市,2020,0.20705342146351868,0.43992357661444403,0.005209208536380441,0.00040095592500040655,8.401949252226517e-05,0.005705963783597795,1.4008819306041051e-05,0.0,0.09863511777473438,0.007278780155294025,8.401949252226517e-05,0.0019157080778667427,0.00016801075268817355,5.8679571360617075e-05,0
重庆市,2021,0.22861480567355102,0.5242825322844378,0.005152695739600352,0.0003993253129893358,6.283775292195552e-05,0.004188159400181371,1.0074747896084346e-05,0.0,0.10060149656092415,0.007123867051510841,6.283775292195552e-05,0.0014493055910476341,0.0001256597134958538,4.147447815177255e-05,0
重庆市,2022,0.2355465025188917,0.5574120747668334,0.0050669091853969075,0.00043222530073750364,6.496037417175523e-05,0.003267408344873594,8.556990146622654e-06,0.0,0.0985878116519636,0.00702504771787578,6.496037417175523e-05,0.0011267799384675078,0.00012990387113535938,4.3266533190718155e-05,0
